GO:0010373	GO:0010372
GO:0045686	GO:0045687
GO:0014014	GO:0014015
GO:0045816	GO:0045817
GO:0003105	GO:0003104
GO:0031947	GO:0031948
GO:0031950	GO:0031951
GO:0031944	GO:0031945
GO:0033132	GO:0033133
GO:0032894	GO:0032895
GO:0045721	GO:0045722
GO:0046325	GO:0046326
GO:0046318	GO:0046319
GO:0014050	GO:0014049
GO:0051948	GO:0051951
GO:0035228	GO:0035229
GO:0045719	GO:0045725
GO:0045818	GO:0045819
GO:0045820	GO:0045821
GO:0043002	GO:0043003
GO:0042997	GO:0042998
GO:0048216	GO:0048215
GO:0032277	GO:0032278
GO:0021941	GO:0021940
GO:0030853	GO:0030854
GO:0002632	GO:0002633
GO:0060125	GO:0060124
GO:0033667	GO:0033666
GO:0045967	GO:0040010
GO:0045926	GO:0045927
GO:0033125	GO:0033126
GO:0043105	GO:0043104
GO:0031283	GO:0031284
GO:0042636	GO:0042635
GO:0051799	GO:0051798
GO:0048817	GO:0048818
GO:0045822	GO:0045823
GO:0010459	GO:0010460
GO:0031655	GO:0031656
GO:0031651	GO:0031652
GO:0051097	GO:0051096
GO:0045611	GO:0045612
GO:0035207	GO:0035208
GO:0046986	GO:0046985
GO:0048178	GO:0048177
GO:0032686	GO:0032726
GO:0031452	GO:0031453
GO:0034115	GO:0034116
GO:0051617	GO:0051618
GO:0035067	GO:0035066
GO:0031067	GO:0031068
GO:0031064	GO:0031065
GO:0000415	GO:0000416
GO:0051572	GO:0051571
GO:0051573	GO:0051574
GO:0031061	GO:0031062
GO:0031057	GO:0031058
GO:0033128	GO:0033129
GO:0033183	GO:0033184
GO:0032845	GO:0032846
GO:0050669	GO:0050668
GO:0034111	GO:0034112
GO:0032353	GO:0046886
GO:0032351	GO:0032352
GO:0046888	GO:0046887
GO:0032539	GO:0032540
GO:0002924	GO:0002925
GO:0002921	GO:0002922
GO:0051346	GO:0051345
GO:0002884	GO:0002885
GO:0043124	GO:0043123
GO:0032304	GO:0032305
GO:0045571	GO:0045572
