NCBITaxon:303417	NCBITaxon:169492
NCBITaxon:341310	NCBITaxon:341375
NCBITaxon:626269	NCBITaxon:56943
NCBITaxon:101101	NCBITaxon:3897
NCBITaxon:355692	NCBITaxon:140050
NCBITaxon:161651	NCBITaxon:656465
NCBITaxon:41182	NCBITaxon:41180
NCBITaxon:381358	NCBITaxon:30060
NCBITaxon:190528	NCBITaxon:76237
NCBITaxon:101283	NCBITaxon:53944
NCBITaxon:281230	NCBITaxon:134884
NCBITaxon:240059	NCBITaxon:670618
NCBITaxon:214120	NCBITaxon:13821
NCBITaxon:216056	NCBITaxon:687122
NCBITaxon:57122	NCBITaxon:6203
NCBITaxon:198763	NCBITaxon:156485
NCBITaxon:265227	NCBITaxon:175119
NCBITaxon:145763	NCBITaxon:175116
NCBITaxon:38201	NCBITaxon:494797
NCBITaxon:322719	NCBITaxon:490335
NCBITaxon:857633	NCBITaxon:857634
NCBITaxon:302982	NCBITaxon:173069
NCBITaxon:484853	NCBITaxon:99221
NCBITaxon:360967	NCBITaxon:9725
NCBITaxon:104447	NCBITaxon:29225
NCBITaxon:384473	NCBITaxon:384474
NCBITaxon:334013	NCBITaxon:334010
NCBITaxon:41590	NCBITaxon:560789
NCBITaxon:101425	NCBITaxon:55837
NCBITaxon:30085	NCBITaxon:567386
NCBITaxon:710129	NCBITaxon:710128
NCBITaxon:43343	NCBITaxon:83682
NCBITaxon:639933	NCBITaxon:161718
NCBITaxon:295955	NCBITaxon:586242
NCBITaxon:114401	NCBITaxon:235572
NCBITaxon:79225	NCBITaxon:79230
NCBITaxon:134278	NCBITaxon:134288
NCBITaxon:134281	NCBITaxon:134289
NCBITaxon:134280	NCBITaxon:134287
NCBITaxon:79224	NCBITaxon:79229
NCBITaxon:820553	NCBITaxon:820554
NCBITaxon:988645	NCBITaxon:38174
NCBITaxon:656893	NCBITaxon:38146
NCBITaxon:75798	NCBITaxon:33976
NCBITaxon:325917	NCBITaxon:509520
