down	http://purl.obolibrary.org/obo/PATO_0000365	up	http://purl.obolibrary.org/obo/PATO_0000370
dry	http://purl.obolibrary.org/obo/PATO_0001824	wet	http://purl.obolibrary.org/obo/PATO_0001823
east	http://purl.obolibrary.org/obo/PATO_0045092	west	http://purl.obolibrary.org/obo/PATO_0045094
edible	http://purl.obolibrary.org/obo/PATO_0002139	inedible	http://purl.obolibrary.org/obo/PATO_0002140
efficient	http://purl.obolibrary.org/obo/PATO_0001678	inefficient	http://purl.obolibrary.org/obo/PATO_0001677
elastic	http://purl.obolibrary.org/obo/PATO_0001171	inelastic	http://purl.obolibrary.org/obo/PATO_0001172
elongated	http://purl.obolibrary.org/obo/PATO_0001154	shortened	http://purl.obolibrary.org/obo/PATO_0002364
female fertile	http://purl.obolibrary.org/obo/PATO_0000888	female sterile	http://purl.obolibrary.org/obo/PATO_0000892
female semi-fertile	http://purl.obolibrary.org/obo/PATO_0001760	female semi-sterile	http://purl.obolibrary.org/obo/PATO_0001763
fertile	http://purl.obolibrary.org/obo/PATO_0000955	sterile	http://purl.obolibrary.org/obo/PATO_0000956
flexible	http://purl.obolibrary.org/obo/PATO_0001544	inflexible	http://purl.obolibrary.org/obo/PATO_0001545
fragile	http://purl.obolibrary.org/obo/PATO_0001362	non-fragile	http://purl.obolibrary.org/obo/PATO_0001716
functional	http://purl.obolibrary.org/obo/PATO_0001510	non-functional	http://purl.obolibrary.org/obo/PATO_0001511
fused with	http://purl.obolibrary.org/obo/PATO_0000642	unfused from	http://purl.obolibrary.org/obo/PATO_0000651
hard	http://purl.obolibrary.org/obo/PATO_0000386	soft	http://purl.obolibrary.org/obo/PATO_0000387
has extra parts of type	http://purl.obolibrary.org/obo/PATO_0002002	has fewer parts of type	http://purl.obolibrary.org/obo/PATO_0002001
high brightness	http://purl.obolibrary.org/obo/PATO_0000665	low brightness	http://purl.obolibrary.org/obo/PATO_0000327
high saturation	http://purl.obolibrary.org/obo/PATO_0001229	low saturation	http://purl.obolibrary.org/obo/PATO_0000328
hydrophilic	http://purl.obolibrary.org/obo/PATO_0001887	hydrophobic	http://purl.obolibrary.org/obo/PATO_0001885
hydrophilicity	http://purl.obolibrary.org/obo/PATO_0001886	hydrophobicity	http://purl.obolibrary.org/obo/PATO_0001884
hyperelliptic	http://purl.obolibrary.org/obo/PATO_0002322	hypoelliptic	http://purl.obolibrary.org/obo/PATO_0002321
hyperplastic	http://purl.obolibrary.org/obo/PATO_0000644	hypoplastic	http://purl.obolibrary.org/obo/PATO_0000645
hyperresponsive to	http://purl.obolibrary.org/obo/PATO_0001192	hyporesponsive to	http://purl.obolibrary.org/obo/PATO_0001194
hypertrophic	http://purl.obolibrary.org/obo/PATO_0000584	hypotrophic	http://purl.obolibrary.org/obo/PATO_0000585
hypertrophic growth	http://purl.obolibrary.org/obo/PATO_0001493	hypotrophic growth	http://purl.obolibrary.org/obo/PATO_0001494
immature	http://purl.obolibrary.org/obo/PATO_0001501	mature	http://purl.obolibrary.org/obo/PATO_0001701
immobile	http://purl.obolibrary.org/obo/PATO_0000300	mobile	http://purl.obolibrary.org/obo/PATO_0000299
imperforate	http://purl.obolibrary.org/obo/PATO_0001821	perforate	http://purl.obolibrary.org/obo/PATO_0002112
impermeable	http://purl.obolibrary.org/obo/PATO_0000983	permeable	http://purl.obolibrary.org/obo/PATO_0000982
increased virulence	http://purl.obolibrary.org/obo/PATO_0002148	reduced virulence	http://purl.obolibrary.org/obo/PATO_0002147
inflated	http://purl.obolibrary.org/obo/PATO_0002376	uninflated	http://purl.obolibrary.org/obo/PATO_0002377
insensitive toward	http://purl.obolibrary.org/obo/PATO_0000513	sensitive toward	http://purl.obolibrary.org/obo/PATO_0000516
insoluble in	http://purl.obolibrary.org/obo/PATO_0001538	soluble in	http://purl.obolibrary.org/obo/PATO_0001537
insufficient	http://purl.obolibrary.org/obo/PATO_0001628	sufficient	http://purl.obolibrary.org/obo/PATO_0001627
insusceptible toward	http://purl.obolibrary.org/obo/PATO_0001153	susceptible toward	http://purl.obolibrary.org/obo/PATO_0001152
invariant	http://purl.obolibrary.org/obo/PATO_0000438	variant	http://purl.obolibrary.org/obo/PATO_0001227
invariant color	http://purl.obolibrary.org/obo/PATO_0001614	variant color	http://purl.obolibrary.org/obo/PATO_0001615
invariant shape	http://purl.obolibrary.org/obo/PATO_0001931	variant shape	http://purl.obolibrary.org/obo/PATO_0001930
invariant temperature	http://purl.obolibrary.org/obo/PATO_0001313	variant temperature	http://purl.obolibrary.org/obo/PATO_0001314
irregular duration	http://purl.obolibrary.org/obo/PATO_0001417	regular duration	http://purl.obolibrary.org/obo/PATO_0001416
irregular sleep pattern	http://purl.obolibrary.org/obo/PATO_0001700	regular sleep pattern	http://purl.obolibrary.org/obo/PATO_0001699
irregular spatial pattern	http://purl.obolibrary.org/obo/PATO_0000330	regular spatial pattern	http://purl.obolibrary.org/obo/PATO_0000440
large (value)	http://purl.obolibrary.org/obo/TXPO_0000286	small (value)	http://purl.obolibrary.org/obo/TXPO_0000287
lumenized	http://purl.obolibrary.org/obo/PATO_0001897	unlumenized	http://purl.obolibrary.org/obo/PATO_0001896
magnetic	http://purl.obolibrary.org/obo/PATO_0001685	non-magnetic	http://purl.obolibrary.org/obo/PATO_0001686
male fertile	http://purl.obolibrary.org/obo/PATO_0000891	male sterile	http://purl.obolibrary.org/obo/PATO_0000890
male semi-fertile	http://purl.obolibrary.org/obo/PATO_0001761	male semi-sterile	http://purl.obolibrary.org/obo/PATO_0001762
necessary (continuant)	http://purl.obolibrary.org/obo/PATO_0001635	unnecessary (continuant)	http://purl.obolibrary.org/obo/PATO_0001636
necessary (occurrent)	http://purl.obolibrary.org/obo/PATO_0001638	unnecessary (occurrent)	http://purl.obolibrary.org/obo/PATO_0001639
negative charge	http://purl.obolibrary.org/obo/PATO_0002196	positive charge	http://purl.obolibrary.org/obo/PATO_0002195
non-porous	http://purl.obolibrary.org/obo/PATO_0000985	porous	http://purl.obolibrary.org/obo/PATO_0000984
non-potable	http://purl.obolibrary.org/obo/PATO_0025001	potable	http://purl.obolibrary.org/obo/PATO_0025002
non-progressive	http://purl.obolibrary.org/obo/PATO_0002026	progressive	http://purl.obolibrary.org/obo/PATO_0001818
north	http://purl.obolibrary.org/obo/PATO_0045091	south	http://purl.obolibrary.org/obo/PATO_0045093
old	http://purl.obolibrary.org/obo/PATO_0000308	young	http://purl.obolibrary.org/obo/PATO_0000309
opaque	http://purl.obolibrary.org/obo/PATO_0000963	transparent	http://purl.obolibrary.org/obo/PATO_0000964
ornamented	http://purl.obolibrary.org/obo/PATO_0002441	unornamented	http://purl.obolibrary.org/obo/PATO_0002442
paedomorphic growth	http://purl.obolibrary.org/obo/PATO_0001749	peramorphic growth	http://purl.obolibrary.org/obo/PATO_0001752
photoinsensitive	http://purl.obolibrary.org/obo/PATO_0000546	photosensitive	http://purl.obolibrary.org/obo/PATO_0000547
pigmented	http://purl.obolibrary.org/obo/PATO_0002248	unpigmented	http://purl.obolibrary.org/obo/PATO_0002249
posterodistal orientation	http://purl.obolibrary.org/obo/PATO_0002527	posterodorsal orientation	http://purl.obolibrary.org/obo/PATO_0002504
recurrent	http://purl.obolibrary.org/obo/PATO_0000427	sporadic	http://purl.obolibrary.org/obo/PATO_0000428
relative large (value)	http://purl.obolibrary.org/obo/TXPO_0001460	relative small (value)	http://purl.obolibrary.org/obo/TXPO_0001461
resistance to	http://purl.obolibrary.org/obo/PATO_0001046	susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001043
responsive to	http://purl.obolibrary.org/obo/PATO_0000487	unresponsive to	http://purl.obolibrary.org/obo/PATO_0000488
rough	http://purl.obolibrary.org/obo/PATO_0000700	smooth	http://purl.obolibrary.org/obo/PATO_0000701
serrated	http://purl.obolibrary.org/obo/PATO_0001206	unserrated	http://purl.obolibrary.org/obo/PATO_0001975
stratified	http://purl.obolibrary.org/obo/PATO_0002068	unstratified	http://purl.obolibrary.org/obo/PATO_0002069
structured	http://purl.obolibrary.org/obo/PATO_0001411	unstructured	http://purl.obolibrary.org/obo/PATO_0001412
