OBSOLETE?	obsolete backcross fertile	PATO:0000900	obsolete backcross sterile	PATO:0000901
OBSOLETE?	obsolete decreased action potential	PATO:0001660	obsolete increased action potential	PATO:0001661
OBSOLETE?	obsolete decreased consumption	PATO:0000768	obsolete increased consumption	PATO:0000767
OBSOLETE?	obsolete decreased percentage	PATO:0000447	obsolete increased percentage	PATO:0000449
OBSOLETE?	obsolete decreased relaxation	PATO:0001812	obsolete increased relaxation	PATO:0001811
OBSOLETE?	obsolete f1 fertile	PATO:0000905	obsolete f1 sterile	PATO:0000906
OBSOLETE?	obsolete f2 fertile	PATO:0000907	obsolete f2 sterile	PATO:0000908
OBSOLETE?	obsolete high enzyme function value	PATO:0000741	obsolete low enzyme function value	PATO:0000742
OBSOLETE?	obsolete high percentage	PATO:0000448	obsolete low percentage	PATO:0000450
OBSOLETE?	obsolete high yield	PATO:0000723	obsolete low yield	PATO:0000724
OBSOLETE?	obsolete high	PATO:0000469	obsolete low	PATO:0000471
OBSOLETE?	obsolete intercross fertile	PATO:0000909	obsolete intercross sterile	PATO:0000910
OBSOLETE?	obsolete negative regulation	PATO:0000481	obsolete positive regulation	PATO:0000480
	old	PATO:0000308	young	PATO:0000309
	opaque	PATO:0000963	transparent	PATO:0000964
	ornamented	PATO:0002441	unornamented	PATO:0002442
	pigmented	PATO:0002248	unpigmented	PATO:0002249
	postdisplaced growth	PATO:0001750	predisplaced growth	PATO:0001754
	responsive to	PATO:0000487	unresponsive to	PATO:0000488
	rough	PATO:0000700	smooth	PATO:0000701
	serrated	PATO:0001206	unserrated	PATO:0001975
	splayed dorsal	PATO:0002151	splayed ventral	PATO:0002154
	stratified	PATO:0002068	unstratified	PATO:0002069
	structured	PATO:0001411	unstructured	PATO:0001412
